order_id,promo_code
ORD-10003,VIP20
ORD-10004,KAHFBARU
ORD-10005,FACECARE10
ORD-10011,KAHFBARU
ORD-10015,GAJIAN50
ORD-10032,VIP20
ORD-10035,CUCI GUDANG
ORD-10038,GRATISONGKIR
ORD-10042,GAJIAN50
ORD-10044,VIP20
ORD-10045,WEEKEND15
ORD-10049,GRATISONGKIR
ORD-10050,WEEKEND15
ORD-10062,GAJIAN50
ORD-10068,WEEKEND15
ORD-10079,GAJIAN50
ORD-10082,GRATISONGKIR
ORD-10083,GRATISONGKIR
ORD-10087,PARFUMKAHF
ORD-10089,CUCI GUDANG
ORD-10092,PARFUMKAHF
ORD-10093,VIP20
ORD-10107,RAMADHAN
ORD-10109,RAMADHAN
ORD-10120,KAHFBARU
ORD-10122,GRATISONGKIR
ORD-10124,FACECARE10
ORD-10126,GAJIAN50
